prediction,time_et,location,thrill_score,comeback,excitement,road_rk,road_team,home_rk,home_team,win_rk,win_team,win_score,loss_rk,loss_team,loss_score,poss,mvp,event,date
Hawaii 66-59 (75%),10:00 pm,"Northridge, CAMatadome",24.84,NA,NA,125,Hawai'i,319,CSU Northridge,125,Hawaii,319,NA,NA,NA,NA,NA,NA,2023-03-02
Troy 71-63 (79%),3:00 pm ESPN Plus,"Pensacola, FLPensacola Bay Center",24.241,NA,NA,290,Arkansas State,129,Troy,290,Arkansas St. vs.,129,NA,NA,NA,NA,NA,NA,2023-03-02
Liberty 77-63 (90%),7:00 pm ESPN Plus,"Lynchburg, VALiberty Arena",23.842,NA,NA,176,Eastern Kentucky,41,Liberty,176,Eastern Kentucky,41,NA,NA,NA,NA,NA,NA,2023-03-02
Maryland Eastern Shore 70-64 (70%),7:30 pm,"Dover, DEMemorial Hall",23.843,NA,NA,246,Maryland-Eastern Shore,357,Delaware State,246,Maryland Eastern Shore,357,NA,NA,NA,NA,NA,NA,2023-03-02
Northern Kentucky 72-63 (78%),7:00 pm ESPN Plus,"Highland Heights, KYBB&T Arena",22.844,NA,NA,275,Oakland,177,Northern Kentucky,275,Oakland,177,NA,NA,NA,NA,NA,NA,2023-03-02
Morgan St. 81-73 (76%),7:30 pm,"Baltimore, MDHill Field House",22.345,NA,NA,341,Coppin State,296,Morgan State,341,Coppin St.,296,NA,NA,NA,NA,NA,NA,2023-03-02
Navy 70-61 (79%),7:00 pm ESPN Plus,"Annapolis, MDAlumni Hall",21.646,NA,NA,287,American University,180,Navy,287,American,180,NA,NA,NA,NA,NA,NA,2023-03-02
Siena 74-64 (81%),7:00 pm,"Albany, NYMVP Arena",19.947,NA,NA,304,Manhattan,192,Siena,304,Manhattan,192,NA,NA,NA,NA,NA,NA,2023-03-02
Long Beach St. 76-65 (84%),10:00 pm,"Long Beach, CAThe Walter Pyramid",19.548,NA,NA,289,CSU Bakersfield,154,Long Beach State,289,Cal St. Bakersfield,154,NA,NA,NA,NA,NA,NA,2023-03-02
Grambling St. 72-62 (83%),8:00 pm,"Grambling, LAAssembly Center",18.549,NA,NA,308,Alabama A&M,190,Grambling,308,Alabama A&M,190,NA,NA,NA,NA,NA,NA,2023-03-02
Southern 74-64 (81%),9:00 pm,"Baton Rouge, LAClark Activity Center",18.15,NA,NA,346,Alabama State,260,Southern,346,Alabama St.,260,NA,NA,NA,NA,NA,NA,2023-03-02
Oregon 75-57 (94%),11:00 pm Fox Sports 1,"Eugene, ORKnight Arena",13.851,NA,NA,262,California,47,Oregon,262,California,47,NA,NA,NA,NA,NA,NA,2023-03-02
Colgate 82-66 (92%),7:00 pm ESPN Plus,"Hamilton, NYCotterell Court",12.952,NA,NA,327,Loyola (MD),115,Colgate,327,Loyola MD,115,NA,NA,NA,NA,NA,NA,2023-03-02
Iona 78-59 (95%),7:00 pm,"New Rochelle, NYHynes Athletics Center",11.753,NA,NA,301,Marist,73,Iona,301,Marist,73,NA,NA,NA,NA,NA,NA,2023-03-02
Indiana St. 83-65 (95%),3:30 pm ESPN Plus,"St. Louis, MOEnterprise Center",11.254,NA,NA,351,Evansville,98,Indiana State,351,Evansville vs.,98,NA,NA,NA,NA,NA,NA,2023-03-02
